KY586503_Ser1_Thailand_BangkokSeq_162_Thailand	2006
KY586504_Ser1_Thailand_BangkokSeq_163_Thailand	2006
KY586505_Ser1_Thailand_BangkokSeq_164_Thailand	2006
KY586506_Ser1_Thailand_BangkokSeq_165_Thailand	2006
KY586507_Ser1_Thailand_BangkokSeq_166_Thailand	2000
KY586509_Ser1_Thailand_BangkokSeq_167_Thailand	1998
KY586510_Ser1_Thailand_BangkokSeq_168_Thailand	2000
KY586511_Ser1_Thailand_BangkokSeq_169_Thailand	2002
KY586323_Ser1_Thailand_BangkokSeq_17_Thailand	2006
KY586512_Ser1_Thailand_BangkokSeq_170_Thailand	2000
KY586513_Ser1_Thailand_BangkokSeq_171_Thailand	2000
KY586515_Ser1_Thailand_BangkokSeq_172_Thailand	1996
KY586516_Ser1_Thailand_BangkokSeq_173_Thailand	1998
KY586517_Ser1_Thailand_BangkokSeq_174_Thailand	1998
KY586518_Ser1_Thailand_BangkokSeq_175_Thailand	1998
KY586519_Ser1_Thailand_BangkokSeq_176_Thailand	2001
KY586520_Ser1_Thailand_BangkokSeq_177_Thailand	1998
KY586521_Ser1_Thailand_BangkokSeq_178_Thailand	2000
KY586522_Ser1_Thailand_BangkokSeq_179_Thailand	1998
KY586324_Ser1_Thailand_BangkokSeq_18_Thailand	2006
KY586523_Ser1_Thailand_BangkokSeq_180_Thailand	1998
KY586524_Ser1_Thailand_BangkokSeq_181_Thailand	2001
KY586525_Ser1_Thailand_BangkokSeq_182_Thailand	2000
KY586526_Ser1_Thailand_BangkokSeq_183_Thailand	2000
KY586527_Ser1_Thailand_BangkokSeq_184_Thailand	1998
KY586529_Ser1_Thailand_BangkokSeq_185_Thailand	1998
KY586530_Ser1_Thailand_BangkokSeq_186_Thailand	2002
KY586531_Ser1_Thailand_BangkokSeq_187_Thailand	2000
KY586534_Ser1_Thailand_BangkokSeq_188_Thailand	1995
KY586535_Ser1_Thailand_BangkokSeq_189_Thailand	1995
KY586325_Ser1_Thailand_BangkokSeq_19_Thailand	2006
KY586536_Ser1_Thailand_BangkokSeq_190_Thailand	1995
KY586537_Ser1_Thailand_BangkokSeq_191_Thailand	1995
KY586538_Ser1_Thailand_BangkokSeq_192_Thailand	1995
KY586539_Ser1_Thailand_BangkokSeq_193_Thailand	1995
KY586540_Ser1_Thailand_BangkokSeq_194_Thailand	2001
KY586542_Ser1_Thailand_BangkokSeq_195_Thailand	2000
KY586543_Ser1_Thailand_BangkokSeq_196_Thailand	2001
