KU296603.1	2015-06-23
KU296602.1	2015-01-15
KU296601.1	2015-02-22
KU296600.1	2015-06-06
KU296599.1	2015-07-14
KU296598.1	2015-03-10
KU296597.1	2015-02-05
KU296596.1	2015-01-15
KU296595.1	2015-03-06
KU296594.1	2015-02-15
KU296593.1	2015-01-23
KU296592.1	2015-06-04
KU296591.1	2015-03-23
KU296590.1	2015-03-07
KU296589.1	2015-06-08
KU296588.1	2015-01-30
KU296587.1	2015-02-01
KU296586.1	2015-02-24
KU296585.1	2015-07-10
KU296584.1	2015-01-22
KU296583.1	2015-02-25
KU296582.1	2015-01-12
KU296581.1	2015-01-17
KU296580.1	2015-07-07
KU296579.1	2015-01-05
KU296578.1	2015-02-25
KU296577.1	2015-03-03
KU296576.1	2015-02-09
KU296575.1	2015-04-16
KU296574.1	2015-03-20
KU296573.1	2015-03-07
KU296572.1	2015-01-10
KU296571.1	2015-06-12
KU296570.1	2015-02-03
KU296569.1	2015-01-10
KU296568.1	2015-02-02
KU296567.1	2015-03-01
KU296566.1	2015-07-09
KU296565.1	2015-03-26
KU296564.1	2015-01-16
KU296563.1	2015-01-10
KU296562.1	2015-02-25
KU296561.1	2015-05-04
KU296560.1	2015-04-18
KU296559.1	2015-04-08
KU296558.1	2015-01-08
KU296557.1	2015-02-20
KU296556.1	2015-06-06
KU296555.1	2015-06-30
KU296554.1	2014-12-23
KU296553.1	2015-02-16
KU296552.1	2015-02-26
KU296551.1	2014-12-08
KU296550.1	2015-04-06
KU296549.1	2015-02-04
KU296548.1	2015-03-20
KU296547.1	2015-03-18
KU296546.1	2015-01-21
KU296545.1	2014-12-21
KU296544.1	2015-06-16
KU296543.1	2015-06-16
KU296542.1	2015-02-25
KU296541.1	2015-04-18
KU296540.1	2015-01-03
KU296539.1	2015-01-26
KU296538.1	2015-03-02
KU296537.1	2015-01-05
KU296536.1	2015-02-23
KU296535.1	2015-03-23
KU296534.1	2015-01-05
KU296533.1	2015-01-03
KU296532.1	2015-03-27
KU296531.1	2015-02-22
KU296530.1	2015-01-12
KU296529.1	2015-02-28
KU296528.1	2015-01-11
KU296527.1	2015-03-16
KU296526.1	2015-02-12
KU296525.1	2015-02-22
KU296524.1	2015-01-29
KU296523.1	2015-05-01
KU296522.1	2015-07-12
KU296521.1	2015-03-22
KU296520.1	2015-04-06
KU296519.1	2015-02-13
KU296518.1	2015-04-21
KU296517.1	2015-02-21
KU296516.1	2015-01-03
KU296515.1	2015-01-22
KU296514.1	2015-03-19
KU296513.1	2015-03-13
KU296512.1	2015-01-08
KU296511.1	2015-02-23
KU296510.1	2014-12-23
KU296509.1	2015-03-03
KU296508.1	2015-01-03
KU296507.1	2015-01-08
KU296505.1	2015-01-21
KU296504.1	2015-05-13
KU296503.1	2015-03-14
KU296502.1	2015-07-31
KU296501.1	2015-03-02
KU296500.1	2015-01-05
KU296499.1	2015-02-03
KU296498.1	2015-05-27
KU296497.1	2015-01-05
KU296496.1	2014-12-22
KU296495.1	2015-01-23
KU296494.1	2015-02-24
KU296493.1	2015-03-10
KU296492.1	2015-02-13
KU296491.1	2015-01-29
KU296490.1	2015-03-29
KU296489.1	2015-03-21
KU296488.1	2015-05-29
KU296487.1	2015-09-06
KU296486.1	2015-06-04
KU296485.1	2015-02-26
KU296484.1	2015-05-15
KU296483.1	2015-03-26
KU296482.1	2015-01-19
KU296481.1	2015-03-07
KU296480.1	2014-12-22
KU296479.1	2015-01-10
KU296478.1	2015-02-28
KU296477.1	2014-12-30
KU296476.1	2015-02-27
KU296475.1	2015-03-16
KU296474.1	2015-03-14
KU296473.1	2015-02-10
KU296472.1	2015-01-24
KU296471.1	2015-02-28
KU296470.1	2015-01-19
KU296469.1	2015-02-26
KU296468.1	2015-04-03
KU296467.1	2015-02-11
KU296466.1	2015-02-26
KU296465.1	2014-12-05
KU296464.1	2015-01-17
KU296463.1	2015-03-10
KU296462.1	2015-09-04
KU296461.1	2015-03-16
KU296460.1	2015-07-08
KU296459.1	2015-04-20
KU296458.1	2015-01-08
KU296457.1	2015-02-07
KU296456.1	2015-07-10
KU296455.1	2015-09-07
KU296454.1	2015-09-12
KU296453.1	2014-12-21
KU296452.1	2015-03-07
KU296451.1	2015-03-10
KU296450.1	2015-04-23
KU296449.1	2015-03-21
KU296448.1	2014-12-26
KU296447.1	2015-02-05
KU296446.1	2015-06-25
KU296445.1	2015-03-14
KU296444.1	2015-02-25
KU296443.1	2015-02-21
KU296442.1	2015-06-09
KU296441.1	2015-02-08
KU296440.1	2015-06-24
KU296439.1	2015-03-24
KU296438.1	2015-04-30
KU296437.1	2015-03-16
KU296436.1	2014-12-26
KU296435.1	2015-01-08
KU296434.1	2015-01-04
KU296433.1	2015-01-28
KU296432.1	2015-01-02
KU296431.1	2015-01-03
KU296430.1	2015-06-24
KU296429.1	2015-01-13
KU296428.1	2015-06-18
KU296427.1	2015-02-03
KU296426.1	2015-06-06
KU296425.1	2015-03-04
KU296424.1	2015-09-06
KU296423.1	2015-05-03
KU296422.1	2015-06-08
KU296421.1	2015-03-22
KU296420.1	2015-01-21
KU296419.1	2015-03-16
KU296418.1	2015-03-07
KU296417.1	2015-06-08
KU296416.1	2015-02-07
KU296415.1	2015-03-26
KU296414.1	2015-06-08
KU296413.1	2014-12-21
KU296412.1	2015-03-20
KU296411.1	2015-02-22
KU296410.1	2015-01-05
KU296409.1	2015-01-25
KU296408.1	2015-01-24
KU296407.1	2015-01-19
KU296406.1	2014-12-21
KU296405.1	2015-03-08
KU296404.1	2015-07-03
KU296403.1	2015-01-04
KU296402.1	2015-03-08
KU296401.1	2015-07-13
KU296400.1	2015-01-10
KU296399.1	2015-06-08
KU296398.1	2014-12-22
KU296397.1	2015-02-25
KU296396.1	2015-03-23
KU296395.1	2015-01-07
